,DateCT,TimeCT,Direction,Category,Key,FileName,Size,ETag,StorageClass
1,2025-10-28,07:32:51,inbound_failed,failed-professional-claims,failed-professional-claims/2025-10-28/CH15000010.SCH15000010.Oct28.T080907883.488064.TIBCO.tran.1.flat,CH15000010.SCH15000010.Oct28.T080907883.488064.TIBCO.tran.1.flat,441425,"""60d87424bfad665ea4d8f56d572bb12a""",STANDARD
0,2025-10-28,14:33:08,inbound_failed,failed-professional-claims,failed-professional-claims/2025-10-28/BS15000502.SBS15000502.Oct28.T152119012.235085.TIBCO.tran.1.flat,BS15000502.SBS15000502.Oct28.T152119012.235085.TIBCO.tran.1.flat,10709,"""561e971cc5bdead28af7d43675c6bdfd""",STANDARD
759,2025-10-28,00:30:35,outbound_837,outbound,outbound/837/15202/flat-file/CH15000025.SCH15000025.Oct27.T222718229.365143.TIBCO.tran.1.flat_outbound,CH15000025.SCH15000025.Oct27.T222718229.365143.TIBCO.tran.1.flat_outbound,5993,"""53962bc2a0568424510fd060f69556e5""",STANDARD
161,2025-10-28,00:38:31,outbound_837,outbound,outbound/837/15102/flat-file/SP15000536.SSP15000536.Oct28.T002131268.628438.TIBCO.tran.1.flat_outbound,SP15000536.SSP15000536.Oct28.T002131268.628438.TIBCO.tran.1.flat_outbound,7868,"""3db4e3123dd821fc7eec027eb6ba9802""",STANDARD
1079,2025-10-28,00:38:53,outbound_837,outbound,outbound/837/15202/flat-file/SP15000536.SSP15000536.Oct28.T001007164.232887.TIBCO.tran.1.flat_outbound,SP15000536.SSP15000536.Oct28.T001007164.232887.TIBCO.tran.1.flat_outbound,11946,"""8b0309cda45d8219e22efee2f3f9b188""",STANDARD
764,2025-10-28,00:38:55,outbound_837,outbound,outbound/837/15202/flat-file/CH15000025.SCH15000025.Oct27.T235714365.905579.TIBCO.tran.1.flat_outbound,CH15000025.SCH15000025.Oct27.T235714365.905579.TIBCO.tran.1.flat_outbound,6429,"""945fbddf675ab023c200ac8f908b6c0f""",STANDARD
866,2025-10-28,00:38:58,outbound_837,outbound,outbound/837/15202/flat-file/N09090.SN09090.Oct27.T235714367.946499.TIBCO.tran.1.flat_outbound,N09090.SN09090.Oct27.T235714367.946499.TIBCO.tran.1.flat_outbound,48156,"""005d9d9ba72428a2b0e9cfddcc16606a""",STANDARD
160,2025-10-28,00:39:49,outbound_837,outbound,outbound/837/15102/flat-file/SP15000536.SSP15000536.Oct27.T233932338.592345.TIBCO.tran.1.flat_outbound,SP15000536.SSP15000536.Oct27.T233932338.592345.TIBCO.tran.1.flat_outbound,147130,"""914ece2d91f899ae2f640bcf4f17a442""",STANDARD
705,2025-10-28,00:39:52,outbound_837,outbound,outbound/837/15202/flat-file/BS15000514.SBS15000514.Oct27.T235714362.833047.TIBCO.tran.1.flat_outbound,BS15000514.SBS15000514.Oct27.T235714362.833047.TIBCO.tran.1.flat_outbound,8121,"""c7e7cb93f5c1771429cc334b27cdec3b""",STANDARD
763,2025-10-28,00:39:54,outbound_837,outbound,outbound/837/15202/flat-file/CH15000025.SCH15000025.Oct27.T233328394.620321.TIBCO.tran.1.flat_outbound,CH15000025.SCH15000025.Oct27.T233328394.620321.TIBCO.tran.1.flat_outbound,6838,"""178ef87759d2fa024d63acec79e1853c""",STANDARD
